brand,country,medium,headline,industry
StreetEasy,United States,Outdoor,central air because my fear in life is the ac unit falling and crushing somebody,Professional & Public services
Nissan,Australia,Direct Market,the all new 2009 nissan murano its shifted so far ahead the rest of the world will have to catch up,Automotive & Services
Lacie,,Print,cloud based software can lose all of your data without you knowing trust us not it,Electronics & Audio-Visual
Non c'è pace senza Giustizia,Italy,Print,make the choice to leave your mark sign here to stop female genital mutilation wwwnoncepacesenzagiustiziaorg,Public interest & Non-profit
Sicredi,Brazil,Print,our credit you already have now you just need your neighbors approval,Financial & Legal services
Elephunk,Brazil,Print,elephunk unique tshirts,"Apparel, Clothing, Footwear & Accessories"
Zen,Czech Republic,Print,i was a real pig rebirth awaits,"Culture, Recreation & Sport"
Philips,China,Print,listened to jacky cheungs live cd he said he doesnt drink water and he only eats apple when he has a concert heard him took 2 bites and blew into the microphone while singing on the fifth track i didnt just hear the ocean but also a few coughs from the audience another bite of the apple 2 mosquitoes flew by and he adjusted the microphone stand again the piano guy flipped through the sheet music the guests came out on stage and walked for exactly 8 and a half steps one last bite of,Electronics & Audio-Visual
,China,Print,life is like an iron bar why not have a breakthrough or break,Alcoholic drinks
Horlicks,India,Print,because your work will never end,Food & Beverages
Crizal,Brazil,Print,water repellent lenses clear vision no matter what,"Apparel, Clothing, Footwear & Accessories"
Mistal,Oman,Print,its time to be the moment,Electronics & Audio-Visual
Coral,Brazil,Print,royal gold and a further 2015 colors,"House, Garden & Pets"
Amnesty International,France,Print,the arms trade kills 500000 civilians a year help us regulate it,Public interest & Non-profit
Gava,Brazil,Print,there are easier ways to be exclusive gava  furniture and interior design for unique people,"House, Garden & Pets"
Lectiva.com,Spain,Print,make your cv stronger,Professional & Public services
,Italy,Print,playing is fun if you dont push it too far every game has its own rules but there is one for all knowing when to stop before it is no more fun excesses can ruin everything even the most innocent and safe games sisal,Public interest & Non-profit
Surfrider Foundation,Brazil,Print,if is no longer useful for you why would be for those who live in the sea protect the oceans visit surfriderorgbr,Public interest & Non-profit
Braun,Germany,Print,why cook when you can create,Electronics & Audio-Visual
,Singapore,Print,want to gain stamina by smoking you cant even get it up after smoking youre such a loser the vicious cycle fo smoking,Public interest & Non-profit
,China,Print,ways laundry sanitizer goes beyond the rest and kills 9999 of germs,"House, Garden & Pets"
Pulp Books,South Africa,Print,read yourself interesting pulpbookscoza let us recommend something,"Culture, Recreation & Sport"
Hashtag,,Print,the ear it can hear sounds measured at zero decibels thats lower than the volume on a 60second film ad  get heard advertise,Professional & Public services
Automovil Panamericano,Mexico,Print,youll never see you car the same way,Media & Publishing
N Seguros,Portugal,Print,bad things happen even to the finest cars be fully insured,Professional & Public services
Sony,China,Print,hi im sony vcd,Electronics & Audio-Visual
Latvian First Party,Latvia,TV & Cinema,this ad was for those who love to be left behind doors the rest of you â come in september 20 latvia in europe,Public interest & Non-profit
2001,Brazil,Print,movies for reading 2001 the dvd rental store now also sells cinema books,Retail & Distribution
Celda Real Honey,Peru,Print,you snooze you lose start your days with natural energy liveactive,Food & Beverages
Carnet Jove,Spain,Print,imagine an app that lets you feel the beat of a speaker right in the middle of your chest download the new carnet jove app,Financial & Legal services
Even,Brazil,Print,keep food away from your teeth,Beauty & Health
,United Arab Emirates,Print,any excuse to get dirty axe shower gel,Beauty & Health
ATP Running Club,Brazil,Print,the safe way to start running,"Culture, Recreation & Sport"
,Portugal,Direct Market,high blood cholesterol will do the same to your arteries watch what you eat,Public interest & Non-profit
,Romania,Print,its called suicide because its your choice give up smoking 0 8008 700 700,Public interest & Non-profit
Parissa,Canada,Print,youre not shaped like this why is your razor,Beauty & Health
Runner's Magazine,Brazil,Print,every second counts,Media & Publishing
Apple,United States,Print,thanks a billion over 1 billion downloads in just nine months only on the app store,Electronics & Audio-Visual
ABACO,Colombia,Cyber,meal for share,Public interest & Non-profit
Eskom,South Africa,Outdoor,we use electricity wisely,Professional & Public services
Amnesty International,Hungary,Print,stop the world record of executions china holds the current world record of executions with executing 1010 people of 1591 confirmed executions worldwide although the beijing olympic committee declared that hosting the olympics will help the development of human rights in china join the fight against death penalty wwwamnestyhu,Public interest & Non-profit
Groupama,France,Print,no one is in a hurry to have an accident,Financial & Legal services
AIDS Foundation,South Africa,Print,i think im falling in love our community programmes help people with hiv continue living normal lives find out more at aidsorgza,Public interest & Non-profit
Duracell,Malaysia,Print,brings toys to life,Electronics & Audio-Visual
Mattel,Mexico,Print,the smallest doll,Toys & Games
,Brazil,Print,all types of music,"Culture, Recreation & Sport"
Greenpeace,India,Print,recycle paper save trees,Public interest & Non-profit
Chevrolet,Colombia,Print,if the landscape bores you change it,Automotive & Services
Immortal Sole,United Kingdom,Print,immortal sole,"Apparel, Clothing, Footwear & Accessories"
Santa Casa,Brazil,Print,please dont dream with freddy krueger dont waste your blood donate,Beauty & Health
,China,Print,grow aware while the birds are still there more than 300 varieties of tree provide home for thousands of bird species in hong kong,Public interest & Non-profit
Sixt,Germany,Print,which stop sign herr wachmeister bmw cabrios from sixt,Professional & Public services
Tiense Suiker,Belgium,Print,home sweet home sugars of tirlemont,Food & Beverages
Carrefour,France,Outdoor,stop by our petrol stations and leave with new friends,Retail & Distribution
Caltex,Australia,TV & Cinema,we put more in,Automotive & Services
XBats,United States,Print,hit the ball a long long way order your custom maple bat at xbatscom,"Culture, Recreation & Sport"
,Canada,Ambient & Interactive,in an effort to improve customer satisfaction we now wear shirts vegetarians welcome weve never seen one up close before weve got the extra something and its not chins were fast it aint pretty but were fast,Professional & Public services
Volkswagen,China,Print,powerful with natural balance tsi  dsg,Automotive & Services
,China,TV & Cinema,there are many ways to right the wrong a kid sticks the hui chun banner upside down on a door mother advises the kid to turn it instead of turning the hui chun the kid rips the door out to turn it upside down stay healthy and you can do anything  mother my baby you need to turn the it upsidedown son good fortune comes vo everyone wishes to be healthy therefore hang seng insurance wishes you a strong body,Financial & Legal services
Vizio,United States,TV & Cinema,ultra hd vizio,Electronics & Audio-Visual
,Venezuela,Print,part of the family call us ng3000,Professional & Public services
Toyota,United States,TV & Cinema,get the feeling,Automotive & Services
International Mountain Bicycling Association,United States,Print,lets unpave the way forward,"Culture, Recreation & Sport"
Friskies,Spain,Print,sir dinner is served,"House, Garden & Pets"
,France,Print,domyos exercycle only at decathlon,Retail & Distribution
Sidor,Luxembourg,Print,linda 27 years old 1034lbs like linda lets put our waste on a diet,Public interest & Non-profit
,Taiwan,TV & Cinema,waiting for her date the woman eats her garlic steak when he arrives and offers his apology her bad breath repelled him and everyone lese in the restaurantman sorry im late woman it is ok vo contains the champex to cover up food odor in your mouth helps refresh your breath immediately instant fresh breath for others to get closer,Food & Beverages
,China,Print,support claimbesides these physical aidsare you ready to support them emotionally and mentally,Public interest & Non-profit
Autan,Romania,Print,gotta love the outdoors the view the people keeps bugs away gently,"House, Garden & Pets"
,Spain,Print,buy your pass to all museums at wwwfranceguidecom spain and france closer,Transport & Tourism
Volkswagen,Israel,Print,stops you when you dont stop,Automotive & Services
Hygiene,Thailand,Print,stains just dont stand a chance,"House, Garden & Pets"
Volkswagen,France,Print,why take unnecessary risks at work,Automotive & Services
Utah Department of Public Safety,United States,Outdoor,bikers make lousy speed bumps drive aware,Public interest & Non-profit
China Environmental Protection Foundation,China,Print,a plate is lasting please minimize the usage of disposable tableware,Public interest & Non-profit
